dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
test,3,0,86986,86986,125287,52,13,671,5.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,53,13,676,5.5,1,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,53,13,676,5.5,1,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,54,13,606,5.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,54,13,606,5.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,55,13,717,5.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,55,13,717,5.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,56,13,676,5.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,56,13,676,5.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,57,13,691,5.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,57,13,691,5.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,58,13,691,5.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,58,13,691,5.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,59,13,671,6.5,1,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,59,13,671,6.5,1,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,60,13,671,5.5,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,60,13,671,5.5,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,61,13,717,5.5,1,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,61,13,717,5.5,1,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,62,13,671,5.5,3,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,62,13,671,5.5,3,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,63,13,671,6.5,1,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,63,13,671,6.5,1,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,64,13,677,5.5,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,64,13,677,5.5,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,65,13,671,5.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,65,13,671,5.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,66,13,677,6.5,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,66,13,677,6.5,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,67,13,671,6.0,1,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,67,13,671,6.0,1,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,68,13,671,5.5,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,68,13,671,5.5,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,69,13,609,5.75,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,69,13,609,5.75,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,70,13,704,5.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,70,13,704,5.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
